source,sink,count,weight
1,10,16,185
1,2,1659,40686
1,3,694,17623
1,4,409,5736
1,5,80,1820
1,6,686,13388
1,7,134,3123
1,8,197,4755
1,9,132,3267
10,11,76,826
10,2,100,1291
10,3,105,1531
11,3,24,451
2,3,535,13502
2,4,48,782
2,5,21,510
2,6,87,2110
2,7,37,867
2,8,31,850
2,9,11,196
3,4,30,462
3,5,299,6269
3,6,61,1343
3,7,20,527
3,8,142,3518
3,9,11,354
4,6,416,5884
4,7,54,818
5,8,38,821
6,7,221,4692
6,8,31,835
6,9,71,1572
7,9,66,1611
8,9,14,335
